,AOI,Cell_ID,pl_pond_methane,pl_lake_methane,area
3,birch_creek,12440,0.13344688374426578,2.186570910720627,1253.3636329819349
4,birch_creek,13041,0.0801379141410076,0.7888528093796561,1228.56407131027
5,birch_creek,12441,0.10450834159675869,2.1701885067901885,1253.3636324408178
7,YKD,6780,0.632588849720726,7.369984221346255,1495.4636536809935
11,fairbanks,10628,0.04080687958631769,0.20697386569077297,1327.145772377881
15,delta_junction,9473,0.1764778555145042,1.1958902673462892,1375.8008666178473
19,fairbanks,10630,0.058489909712751725,0.4046709794939011,1327.1457664422821
22,delta_junction,9475,0.003362476356408822,0.017848772423050465,1375.8008620549979
24,birch_creek,13043,0.046396967929674196,2.0763084503204006,1228.564068235404
26,fairbanks,10629,0.05005169675351726,0.43621512272236274,1327.1457662781822
28,delta_junction,9474,0.02849577544556591,0.1442934539363903,1375.8008690210056
34,birch_creek,13042,0.030403648203070437,0.5757138445453343,1228.5640661689501
40,YKD,6781,0.8468130004185284,5.735687886853559,1495.4636618887328
45,birch_creek,12439,0.1824813408426067,2.1204436295381908,1253.3636408785062
52,YKD,6782,0.6276434568106627,4.219643333968118,1495.463648492502
